"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004/2005","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","25","","","","0"
"2005/2006","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","53","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","54","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","44","","","","0"
"2008/2009","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","37","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","34","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","37","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","58","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","42","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","33","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","27","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","14","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","7","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","12","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","5","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","8","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","1","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","3","","","","0"
"1999/2000","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","86","","","","0"
"2000/2001","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","57","","","","0"
"2001/2002","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","85","","","","0"
"2002/2003","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","88","","","","0"
"2003/2004","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","63","","","","0"
"2004/2005","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","41","","","","0"
"2005/2006","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","52","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","70","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","48","","","","0"
"2008/2009","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","45","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","70","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","45","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","40","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","47","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","45","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","35","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","27","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","34","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","13","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","11","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","18","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","10","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218944","3.15.3.1.2.1","7","","","","0"
"1999/2000","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","215","","","","0"
"2000/2001","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","285","","","","0"
"2001/2002","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","248","","","","0"
"2002/2003","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","229","","","","0"
"2003/2004","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","259","","","","0"
"2004/2005","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","192","","","","0"
"2005/2006","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","229","","","","0"
"2006/2007","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","217","","","","0"
"2007/2008","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","254","","","","0"
"2008/2009","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","235","","","","0"
"2009/2010","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","208","","","","0"
"2010/2011","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","143","","","","0"
"2011/2012","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","181","","","","0"
"2012/2013","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","147","","","","0"
"2013/2014","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","137","","","","0"
"2014/2015","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","156","","","","0"
"2015/2016","Nova Scotia","2016A000212","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60237964","4.4.2.1.2.1","113","","","","0"
